ID Candidato,Municipio,Candidato,Votos,pct_votos_trazados,Ganador,n_posts_total,n_posts_facebook,facebook_likes_total,facebook_likes_late_growth,facebook_comentarios_total,facebook_comentarios_late_growth,facebook_compartidos_total,facebook_compartidos_late_growth,facebook_vistas_total,facebook_vistas_late_growth,facebook_favoritos_total,facebook_favoritos_late_growth,facebook_fb_love_total,facebook_fb_love_late_growth,facebook_fb_haha_total,facebook_fb_haha_late_growth,facebook_fb_care_total,facebook_fb_care_late_growth,facebook_fb_wow_total,facebook_fb_wow_late_growth,facebook_fb_sad_total,facebook_fb_sad_late_growth,facebook_fb_angry_total,facebook_fb_angry_late_growth,n_posts_tiktok,tiktok_likes_total,tiktok_likes_late_growth,tiktok_comentarios_total,tiktok_comentarios_late_growth,tiktok_compartidos_total,tiktok_compartidos_late_growth,tiktok_vistas_total,tiktok_vistas_late_growth,tiktok_favoritos_total,tiktok_favoritos_late_growth,tiktok_fb_love_total,tiktok_fb_love_late_growth,tiktok_fb_haha_total,tiktok_fb_haha_late_growth,tiktok_fb_care_total,tiktok_fb_care_late_growth,tiktok_fb_wow_total,tiktok_fb_wow_late_growth,tiktok_fb_sad_total,tiktok_fb_sad_late_growth,tiktok_fb_angry_total,tiktok_fb_angry_late_growth,n_posts_twitter,twitter_likes_total,twitter_likes_late_growth,twitter_comentarios_total,twitter_comentarios_late_growth,twitter_compartidos_total,twitter_compartidos_late_growth,twitter_vistas_total,twitter_vistas_late_growth,twitter_favoritos_total,twitter_favoritos_late_growth,twitter_fb_love_total,twitter_fb_love_late_growth,twitter_fb_haha_total,twitter_fb_haha_late_growth,twitter_fb_care_total,twitter_fb_care_late_growth,twitter_fb_wow_total,twitter_fb_wow_late_growth,twitter_fb_sad_total,twitter_fb_sad_late_growth,twitter_fb_angry_total,twitter_fb_angry_late_growth,total_likes,total_comentarios,total_compartidos,total_vistas,total_favoritos,total_fb_love,total_fb_haha,total_fb_care,total_fb_wow,total_fb_sad,total_fb_angry,avg_interactions_per_post,max_interactions_single_post,std_interactions
COL-05045-004,Apartadó,Hector Rangel Palacios Rodriguez,28317,56.40162530374856,Sí,45,40,19853,490,1809,41,2114,51,277267,6971,0,0,6715,167,38,0,192,1,7,0,5,0,6,0,5,805,55,28,2,101,6,41165,2767,61,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20658,1837,2215,318432,61,6715,38,192,7,5,6,549.1111111111111,2131,429.021731925839
COL-05045-005,Apartadó,Adolfo David Romero Benitez,21889,43.59837469625145,No,50,50,13765,326,2290,56,3653,89,152945,3560,0,0,3156,75,90,0,162,0,6,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13765,2290,3653,152945,0,3156,90,162,6,1,2,394.16,1579,314.3919534723547
COL-63001-003,Armenia,Stefany Gomez Murillo,11674,15.762043637934758,No,13,12,1935,48,200,3,344,8,113083,2714,0,0,464,13,21,0,49,0,0,0,1,0,3,0,1,62,4,1,0,1,0,1126,74,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997,201,345,114209,2,464,21,49,0,1,3,195.6153846153846,553,158.94314416458192
COL-63001-013,Armenia,James Padilla Garcia,35703,48.205605962410885,Sí,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,264,16,22,1,9,0,8462,537,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,22,9,8462,9,0,0,0,0,0,0,59.0,108,35.57386681259152
COL-63001-014,Armenia,Jose Ignacio Rojas Sepulveda,26687,36.03235039965435,No,11,11,892,21,97,2,410,11,13080,312,0,0,162,2,1,0,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892,97,410,13080,0,162,1,23,1,0,0,127.18181818181819,328,98.57263127442442
COL-68081-003,Barrancabermeja,Claudia Patricia Andrade Gonzalez,15779,13.556191310772615,No,59,47,7610,178,1408,28,2312,55,143478,3336,0,0,1250,25,201,3,81,0,72,1,15,0,15,0,5,303,20,4,0,53,3,8663,551,20,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7913,1412,2367,152141,20,1250,201,81,72,15,15,198.16949152542372,850,180.8448708950501
COL-68081-005,Barrancabermeja,Jonathan Stivel Vasquez Gomez,72593,62.366727664802355,Sí,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57,0,3,0,14,0,5511,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,3,14,5511,0,0,0,0,0,0,0,74.0,74,0.0
COL-68081-006,Barrancabermeja,Elkin David Bueno Altahona,28025,24.077081024425027,No,13,12,4557,107,743,18,633,17,26936,618,0,0,1536,36,174,2,157,1,1,0,2,0,2,0,1,72,5,8,1,2,0,1451,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4629,751,635,28387,1,1536,174,157,1,2,2,462.6923076923077,1184,268.656033065636
COL-08001-002,Barranquilla,Alejandro Char Chaljub,417644,85.26130981544995,Sí,58,16,27459,644,5540,126,3542,80,364694,8420,0,0,3756,90,2088,50,234,2,18,0,18,0,68,0,4,8565,532,551,36,1110,68,183436,11394,328,22,0,0,0,0,0,0,0,0,0,0,0,0,38,51589,128,5466,8,11429,26,4110556,9311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87613,11557,16081,4658686,328,3756,2088,234,18,18,68,1987.0862068965516,8990,1894.9158689326362
COL-08001-005,Barranquilla,Antonio Eduardo Bohorquez Collazos,53144,10.849256900212314,No,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,394,24,105,6,14,0,4817,280,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,105,14,4817,16,0,0,0,0,0,0,128.25,218,103.05783166099832
COL-08001-006,Barranquilla,Hassan Fares Hachem,19052,3.8894332843377426,No,11,11,1370,37,230,6,744,20,35221,920,0,0,72,1,6,0,1,0,27,0,12,0,86,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1370,230,744,35221,0,72,6,1,27,12,86,213.0909090909091,869,241.7856300715386
COL-05049-001,Bello,Juan Felipe Restrepo Tamayo,11226,8.51209026182298,No,25,25,1553,36,225,4,225,3,19102,443,0,0,307,4,5,0,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1553,225,225,19102,0,307,5,21,0,0,1,80.12,314,72.0244865769043
COL-05049-003,Bello,Yulieth Lorena Gonzalez Ospina,64022,48.54454326941304,Sí,25,16,3367,81,432,9,503,15,12422,293,0,0,729,17,13,0,19,0,3,0,5,0,10,0,8,1607,89,78,3,68,3,71576,3861,45,2,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,3,0,7,0,1690,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4989,513,578,85688,45,729,13,19,3,5,10,243.2,395,99.99249971872891
COL-05049-008,Bello,Nestor David Restrepo Bonnett,56635,42.94336646876398,No,48,22,2996,75,552,16,548,13,18770,463,0,0,667,18,38,0,71,0,1,0,2,0,4,0,19,2312,142,136,6,150,6,84505,5063,40,0,0,0,0,0,0,0,0,0,0,0,0,0,7,66,0,2,0,15,0,3545,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5374,690,713,106820,40,667,38,71,1,2,4,141.1875,389,86.06421557260404
COL-68001-001,Bucaramanga,Jaime Andres Beltran Martinez,91418,39.45311657093042,Sí,104,50,8043,194,956,17,1587,35,81945,2059,0,0,890,9,180,3,108,0,3,0,3,0,11,0,23,6329,388,3,0,365,25,111874,6840,140,3,0,0,0,0,0,0,0,0,0,0,0,0,31,8505,17,1489,1,2328,3,1349488,2967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22877,2448,4280,1543307,140,890,180,108,3,3,11,284.66346153846155,2957,402.6855626184027
COL-68001-002,Bucaramanga,Edinson Fabian Oviedo Pinzon,33995,14.671166486127236,No,75,21,6799,159,582,11,776,17,612519,14512,0,0,727,19,365,7,51,0,8,0,7,0,18,0,3,189,12,0,0,21,1,8850,564,7,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6988,582,1110,621369,7,727,365,51,8,7,18,115.73333333333333,856,220.2602473815386
COL-68001-003,Bucaramanga,Consuelo Ordoñez de Rincon,22726,9.807822608140244,No,100,22,3115,77,645,16,284,4,282991,6946,0,0,681,15,59,0,20,0,1,0,0,0,3,0,19,3157,193,283,15,130,5,74401,4501,137,5,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6272,928,840,357392,137,681,59,20,1,0,3,80.4,1357,160.94512522388905
COL-68001-008,Bucaramanga,Carlos Felipe Parra Rojas,39004,16.83289241432289,No,53,18,15698,363,1590,37,3604,83,260150,6019,0,0,1263,33,339,6,73,0,165,3,11,0,91,1,35,6750,397,100,4,284,13,134800,7811,142,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22448,1690,3888,394950,142,1263,339,73,165,11,91,528.7924528301887,3290,676.8804677594505
COL-68001-012,Bucaramanga,Luis Roberto Ordoñez Ardila,10326,4.456374912067946,No,14,14,3497,72,438,9,274,5,234803,4036,0,0,260,5,357,7,21,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3497,438,274,234803,0,260,357,21,4,0,6,300.64285714285717,1626,547.0690586617516
COL-68001-013,Bucaramanga,Jaime Calderon Herrera,10693,4.614760501137183,No,52,15,1562,36,217,2,718,15,15967,384,0,0,166,1,8,0,24,0,3,0,1,0,5,0,13,1666,90,91,7,140,8,20168,1093,56,1,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3228,308,1114,36135,56,166,8,24,3,1,5,89.42307692307692,417,92.86810088989614
COL-68001-015,Bucaramanga,Horacio Jose Serpa Moncada,23551,10.163866507274085,No,77,27,4116,96,1047,22,759,11,127656,2878,0,0,398,5,351,8,31,0,12,0,6,0,11,0,5,240,14,15,0,26,1,8248,508,4,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4356,1062,1685,135904,4,398,351,31,12,6,11,92.24675324675324,1414,212.73093679477617
COL-76109-010,Buenaventura,Libia Mosquera Viveros,19727,31.854734530422423,No,17,11,1109,27,113,2,159,2,48952,1231,0,0,309,8,10,0,12,0,2,0,0,0,0,0,3,112,5,2,0,2,0,2960,147,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1221,115,171,51912,2,309,10,12,2,0,0,88.6470588235294,411,99.44090027276917
COL-76109-015,Buenaventura,Ligia del Carmen Cordoba Martinez,42201,68.14526546957758,Sí,15,13,3879,91,455,11,789,17,178028,3967,0,0,932,24,5,0,147,2,1,0,0,0,1,0,2,51,4,4,0,8,0,1682,109,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3930,459,797,179710,10,932,5,147,1,0,1,345.73333333333335,1603,392.98063686698475
